Ad_Impressions,App_Installs
92538,15948
11815,5390
3114,3007
56587,12671
66543,13256
65806,13048
40618,10368
46088,10701
63639,12634
95624,14669
31991,8589
41100,10112
99524,16005
4173,3013
53989,12812
59481,12587
23449,7780
90947,14356
29420,8547
34088,9487
27923,8308
55546,11717
87905,14746
7748,4050
20375,6512
36136,10597
34055,8726
4466,3108
15161,6283
27641,7285
8821,5473
13121,6312
97392,14852
1444,1738
31849,9401
46200,10736
62916,13041
71000,14087
40960,9705
74501,13881
67430,12382
69743,12972
73353,13576
24050,7827
36295,9101
47944,11246
47127,10120
4483,2907
7198,4778
90638,14654
57893,12166
67366,13795
67232,12955
53277,12213
42237,9599
64920,12445
18226,6861
68327,12554
51498,11115
69299,13235
8883,4796
49159,10929
37848,8811
69521,12860
47404,10185
16468,6379
16241,6352
76047,13725
34717,8845
42991,9530
93231,15981
22016,7429
33295,8967
86588,14679
74989,13021
37453,10321
13456,5443
23963,7684
35169,9620
67514,13350
75086,13689
18740,6329
51999,11701
95229,15855
22994,8168
36950,9883
74490,14694
54652,11763
26602,8255
69041,13753
68948,13934
51904,12086
47692,10879
36333,9912
8478,5135
46340,10794
90163,14589
72168,12931
46639,10986
19951,7501
96530,15306
29611,8221
94373,15102
98776,15789
58420,12475
68702,13292
44368,10535
8587,5328
89251,16299
35375,9410
10715,5979
87871,14478
4920,4079
17312,6167
60792,12151
1236,1738
30707,7800
70579,12372
79968,13714
34921,10005
38419,9681
60261,12732
84601,13721
83615,14638
22666,7748
2752,2143
36469,10479
54730,11069
52683,11355
6485,5254
52985,11034
55632,11483
54121,11710
77565,13261
12775,5910
19749,6136
61034,12353
29985,9381
98381,16003
33367,9113
84906,14408
11056,5215
92967,15102
79517,14298
1084,1969
58830,12199
47485,11246
8039,4740
72963,12883
23474,6493
93664,15388
21556,7116
35150,9476
39416,10763
17155,6415
73735,13732
66770,12497
37668,9950
76057,13399
51003,11792
73400,13608
86149,14603
19984,6249
73136,12835
47066,11137
31548,9462
70509,13398
12103,5387
54940,11744
86305,14617
18399,6430
2792,1966
16968,5842
39046,9536
3631,3059
71125,12670
96013,15456
87583,14422
6805,3289
82502,14040
75533,13860
49221,10777
18482,7536
15805,6598
26300,8636
82560,15920
86590,14427
96803,14840
29513,8197
11811,5467
70649,13486
27953,8452
