Company_Profit,Bonus_Amount
3755032,191738.69
1070023,55999.89
4747489,238494.73
487848,26916.27
4692639,235229.19
1670749,80363.99
4803465,241518.8
1760572,86641.97
465073,20868.95
4732198,235800.12
4029842,197996.08
2428455,112118.48
4541166,229189.35
4617518,229168.58
2716839,136696.05
1463603,72707.82
4583842,232247.67
3136346,155414.07
4447171,218576.07
1059329,55521.29
4820290,233886.39
4384564,219893.1
2050166,103137.52
2931758,148529.41
884405,51446.26
2073034,102511.17
1496408,76229.96
3665589,185211.87
2757060,138131.83
2357433,115397.53
4637551,227245.1
4737248,234787.32
2848896,138297.06
183362,5373.02
2570723,128700.41
4498734,221010.25
2302523,116960.26
801320,36693.53
1837344,94347.47
3054898,149858.32
1578897,81015.65
489008,25045.12
1280273,65725.15
1907024,94108.85
3789089,187992.26
2085718,109521.49
2404053,117189.18
4121460,203671.86
197687,4009.25
848148,40223.29
2314669,111300.7
1874227,98701.13
4840174,244077.0
1207560,58503.4
2290927,116959.79
2642440,123729.85
2077551,100568.9
731423,38753.96
2313530,112201.29
3410646,168583.69
2772027,141424.2
643391,33334.03
910944,41840.43
4484435,223125.43
263626,11307.35
3357866,165814.66
1734503,84934.26
4097972,208578.2
1150857,55143.18
2699576,138520.49
1899067,97539.89
4127304,209253.84
4342058,218681.4
4480040,225597.12
3341111,167688.64
171213,6999.48
1362548,72869.7
4817650,239647.66
1226612,61009.79
3030389,153526.67
2922739,147536.28
1066073,49473.29
4130531,205998.36
1999872,99404.34
4716439,239738.55
1912531,97048.05
987004,54644.62
3997028,199590.08
268499,13268.0
2742721,136890.09
3520357,177380.88
4072377,211847.57
2979275,149279.03
684043,31536.48
4818144,241890.14
3862331,191105.71
4614265,229066.82
2376855,119420.86
4521086,231516.92
3828863,190578.71
4974776,249643.46
3907976,195338.25
4183357,211179.91
2214596,103875.27
4805256,239415.45
115052,5370.21
2188898,110196.79
1625804,83599.24
2142704,111246.48
1577450,79178.29
3628515,186035.67
4965388,250690.5
4651316,235991.7
100927,6326.12
2020985,102066.92
3224683,165379.62
3347283,168694.31
4670286,235098.9
114573,2986.58
874527,43749.49
1438044,70930.06
4021474,203938.21
550177,29138.3
2466815,125251.49
3809560,189802.34
4754395,236488.44
4326185,217227.53
1312379,69262.71
641818,29368.14
2416650,119419.2
464675,29155.71
4384900,216146.97
3551056,180994.52
3135550,151764.86
3215886,159003.97
640219,34451.31
4863295,241647.13
4737669,235807.07
588865,24355.96
1607914,77638.17
3300827,160402.79
3788511,185567.05
1636559,84006.05
3420555,167139.11
4353135,218520.56
2462441,122776.45
2297728,111611.95
371849,15049.37
4378566,220677.8
4087117,206332.39
3141201,160631.19
4834558,241221.24
4255534,211363.46
104944,0.0
3553855,177652.69
2746248,133127.77
2382583,117407.85
4726571,235319.54
187868,6311.68
2737164,141000.32
4972088,256056.03
4419555,225359.67
3745792,191550.61
2206468,111749.56
3117504,158744.7
3723094,188562.85
4152479,206387.88
2263760,116865.51
3850077,190802.61
2807358,143906.85
1362530,70727.14
4014541,200185.07
3230730,158089.49
175263,11177.67
536782,24058.42
4342533,218455.25
147366,8399.59
3884329,194631.8
1054150,53488.45
4904166,244436.91
1105376,52653.79
4787127,240997.69
2978100,154907.29
1114181,58744.96
2639269,134042.76
3834966,190375.42
4110817,213926.5
1972594,100291.21
373140,19614.2
2412366,123008.0
2015280,97777.63
398993,20668.09
2687948,136957.27
3096633,155089.34
4858315,238311.77
4766740,240614.06
3209972,159756.24
2151149,111275.83
1191874,59494.64
4998596,247446.48
1584703,79816.86
4474201,224073.55
3285526,167150.15
529825,27887.13
847007,40174.37
3088213,156120.33
4135648,209533.05
1549031,75090.9
3318988,166544.6
3079874,150789.61
576389,33174.99
2385277,122299.65
3406528,169028.72
3642701,180629.78
4744629,237104.27
862886,42998.82
4679517,233357.17
4419454,220846.87
3267328,160180.28
4078095,200627.67
3446869,169205.82
3462566,173757.24
1062026,56328.39
1820435,97571.04
1948394,102215.73
749494,35068.32
666696,36936.27
100046,5458.87
2633569,133390.01
1913948,100531.83
1552816,81496.75
3100727,153219.14
3316686,164929.23
3534079,176452.73
4832027,242133.02
1157856,59159.31
2625074,135821.86
931638,46246.58
4354799,216631.32
1684543,84758.41
1647771,80724.06
4848712,247043.43
680433,30669.5
2293671,108416.71
3400308,167453.47
2817103,134622.51
398482,20938.6
2145302,103466.88
2933100,152915.74
4058189,203554.26
4071147,202627.81
4913785,242059.1
4686649,234908.84
4460570,228336.16
3896607,189115.3
3781913,191517.39
3768334,185893.53
3150630,160961.04
2105006,102926.06
2142438,111691.23
360222,19794.47
1456254,69755.36
1331242,63726.62
3234438,161062.71
3879376,190806.2
4739947,232179.5
1235184,65453.84
3198334,154102.02
3890039,199353.67
3184671,157958.99
4244002,213567.58
2207899,117317.34
4695666,236833.66
1054810,50798.27
2906372,150671.21
4149871,201957.11
1258610,63599.88
2574139,132568.84
1236613,60424.84
2159561,104848.69
1490766,70806.44
4033937,201400.48
870028,37520.39
3473598,167930.84
2834291,139771.86
4471716,222244.41
3631269,182520.98
3619678,180000.53
