Items_Produced,Amount_of_Waste
1998,121.53
1935,120.45
3119,196.15
1901,120.14
2027,152.27
1691,133.1
4763,325.57
3411,231.39
4462,302.0
411,13.08
2996,194.08
1749,144.22
4444,303.01
3523,245.27
4397,266.71
566,25.64
2762,178.1
4720,339.78
2652,200.07
2084,160.63
1324,70.18
3479,262.94
2226,146.77
4605,307.02
2044,147.88
2568,200.02
1612,117.18
4370,283.77
2960,216.95
2474,193.63
3776,245.32
1796,126.64
2263,154.4
2824,199.74
4983,329.56
2186,136.58
4724,338.95
3812,277.7
576,48.38
3557,263.85
3600,242.58
4166,317.58
2415,150.71
4205,304.98
2058,151.29
3452,242.1
3491,261.33
4777,352.25
382,35.83
3271,221.91
1386,126.77
1488,95.63
2601,183.54
564,54.73
2602,174.49
4564,318.15
4210,265.53
2062,153.13
2261,179.63
3010,217.92
3630,251.68
2276,167.11
1934,158.19
4666,330.63
4258,321.44
3168,226.36
896,60.89
4833,350.29
447,39.08
4061,280.53
3223,237.86
847,61.05
3348,241.26
4090,269.61
309,30.9
2871,212.82
4357,316.38
566,48.9
4179,296.68
3892,250.9
1051,80.72
2517,183.48
4542,321.93
2788,175.83
4180,290.91
3267,222.67
1719,114.86
4775,319.13
4363,325.13
4096,291.9
2536,189.01
2044,143.43
2015,142.42
2608,168.52
692,45.69
2305,165.56
2186,141.74
4189,305.71
2607,195.35
2683,193.09
2050,118.84
1054,84.19
2338,176.17
4348,278.72
1518,119.68
4687,329.01
1773,135.77
1772,169.5
1831,112.22
3688,255.94
3187,228.33
2480,161.75
4965,379.91
4981,319.82
392,46.93
3912,265.39
2924,200.44
2341,175.41
769,66.97
4981,365.94
2315,171.25
2255,162.71
1136,62.07
2272,166.4
4155,272.77
130,28.01
4186,291.5
419,33.02
2027,139.83
2620,172.94
3803,286.15
4152,285.23
1154,61.61
241,0.0
156,0.0
315,0.0
1969,141.95
175,13.5
354,0.0
1090,85.31
2325,155.04
2036,135.51
266,0.0
3643,276.94
4877,347.14
1754,123.8
1085,58.03
890,66.22
3411,254.4
4082,293.87
828,44.19
2035,159.62
3199,224.5
4383,325.55
3071,182.63
4603,289.98
762,45.48
565,34.32
4029,295.46
1056,86.64
4042,307.42
2750,191.96
2960,208.11
1343,86.73
1531,117.13
3511,251.44
2053,137.73
2452,174.22
3442,224.49
1136,58.82
128,16.35
1935,136.73
4594,310.27
2175,164.57
932,48.69
4445,314.82
3919,280.59
3511,261.66
4254,302.0
3541,254.16
4806,376.77
1393,110.86
1158,70.93
614,43.51
1620,127.15
2632,175.82
426,40.6
4801,308.68
3776,270.29
3188,221.81
3320,225.97
3059,195.61
4956,359.43
1020,81.22
832,55.45
4586,317.03
2535,177.45
1695,102.03
3938,301.16
1696,122.22
297,0.0
898,103.81
1068,75.78
1863,144.82
4482,316.96
2110,151.07
3033,201.04
3643,292.19
4006,272.43
4956,338.23
1900,127.95
4568,316.91
400,26.15
2938,206.53
661,35.65
802,61.36
1590,126.07
289,3.78
4207,327.68
2409,137.04
1155,79.12
3307,224.85
2054,150.93
2111,146.71
3705,244.87
913,70.54
2702,199.37
1318,93.5
4693,322.01
4150,317.8
1319,129.88
2479,157.7
3525,269.9
2110,165.42
4908,359.04
2396,141.97
1339,95.83
505,60.76
2632,165.41
1221,93.02
472,22.39
1482,127.38
4341,331.37
4933,358.67
4585,321.2
4004,278.67
438,28.57
2805,193.63
4425,308.69
3604,267.8
999,59.96
1217,99.96
3799,313.83
1531,112.12
1582,122.15
4675,301.95
2542,184.98
834,55.15
4086,305.73
1642,139.95
2080,151.19
4662,316.31
1838,118.61
2639,158.37
2081,139.72
4294,292.67
807,77.97
949,89.36
2226,188.34
2138,139.3
4598,311.98
3013,196.65
1884,159.15
578,53.15
3509,273.0
563,46.79
1982,159.73
4214,291.19
1879,134.32
2298,150.92
4941,347.95
4519,306.64
1074,87.43
3004,211.71
1297,97.92
689,68.0
495,36.95
220,12.25
2775,180.31
1401,91.45
1188,69.73
3968,297.69
2358,167.57
3641,273.0
4937,347.61
2780,209.08
1488,107.45
3953,275.45
4772,351.6
3813,264.7
3552,251.94
936,83.44
2226,127.47
4917,344.32
2271,188.81
3727,285.22
809,67.39
836,49.35
3742,279.91
2173,140.62
1760,132.36
1117,92.39
4094,313.84
2802,207.27
1230,94.6
2436,168.64
2867,188.12
4142,277.34
3878,271.86
4279,316.06
2787,167.13
4347,314.75
2809,218.47
1700,118.21
642,0.0
2712,182.94
651,41.06
1736,117.39
3467,221.7
3783,259.87
2448,191.11
3296,200.72
4663,324.09
2772,191.08
675,52.72
3463,257.04
4452,310.46
993,94.81
4883,332.26
1741,148.92
939,63.05
591,25.56
1274,68.67
3415,249.52
4310,290.7
440,36.92
3876,282.83
247,3.59
1310,101.24
4297,281.19
1298,76.51
3220,235.67
499,45.45
3451,241.69
3264,221.4
1391,98.77
4006,288.05
677,40.13
2825,186.17
3231,225.57
4034,302.85
832,44.76
1591,119.59
4903,366.08
448,24.42
1837,151.63
407,0.0
4257,284.74
262,32.73
3070,195.02
356,37.93
3068,220.58
2298,177.16
4727,310.08
1390,107.78
700,44.93
1450,117.56
487,24.3
4380,299.97
1001,85.8
2629,187.84
1015,81.22
3797,272.23
4257,315.39
2181,145.31
1241,74.12
3265,216.52
2430,141.97
4844,341.29
3205,218.53
4250,295.22
1492,78.12
3972,280.36
659,40.95
272,32.48
550,40.09
3074,211.01
1129,87.32
1294,86.03
1968,146.47
4932,355.14
2340,159.83
4704,324.89
1305,112.8
2361,163.84
3861,255.23
3808,271.07
1285,106.82
4632,322.53
3108,209.15
2696,198.99
2938,211.05
4079,280.86
4817,343.28
4983,345.61
2654,219.98
4534,324.12
4378,324.38
805,53.53
4651,344.61
4869,340.7
1240,95.94
1163,94.69
1589,115.73
