ad budget,units sold
23135,19804
31544,32091
38918,29373
31847,19710
44774,37212
11680,5160
48972,43310
31083,22410
35433,27839
46579,23821
27309,21099
42719,32720
11349,16057
10543,13655
10460,8513
35553,18660
29525,20979
6948,12543
15498,11208
19991,9592
25974,27690
36398,19377
8660,6250
27245,25145
1238,1747
20920,9287
47659,32552
10338,4083
43517,39520
11349,10102
47350,35555
12643,12568
29274,18918
46013,41241
41667,36037
40913,31383
39629,30730
46819,35404
17632,20081
28144,23812
13321,9358
38091,24651
30256,27742
24485,22845
3860,0
15919,10214
34337,26768
9411,607
10586,8911
25312,10377
24055,11567
35890,25654
29807,20076
21384,19816
48177,40240
29925,32200
4089,3828
15242,13430
40978,25804
17433,6981
34282,27812
11983,10077
44738,37528
44578,43280
43797,28337
5671,14676
25133,11166
44209,37605
1414,0
48861,43434
22242,8891
36184,12552
39379,32378
16231,12235
22849,24916
42163,34198
32676,21672
23056,15206
42028,52919
20947,11510
46416,40280
27040,24045
47110,40975
47978,41180
26282,19420
27201,11189
7833,7200
5752,4525
25507,21149
21169,20327
45746,34115
42495,30274
25930,26149
6023,2845
1982,0
15305,8763
17146,17284
12201,8502
17910,27605
24031,19569
24636,12469
18314,12030
28332,26598
19330,11863
16365,12989
44501,41472
11108,15660
4360,341
43553,33301
41880,34085
49784,47881
4625,0
39237,33548
2223,2111
40878,27320
10157,15550
47019,43557
38760,40238
14646,18798
45638,36572
30024,27736
5787,6621
24202,13919
44908,28100
37067,31868
10360,8867
33692,24935
40219,31621
13941,21770
16993,517
15620,16335
21193,22010
22248,23605
46852,29211
6027,3062
5260,2149
38596,32629
42540,27256
10012,10280
26823,16150
9315,5667
48027,46492
13631,15958
19258,16149
26099,12526
36891,31507
37992,32791
32376,13304
11977,11687
27694,15699
48376,29823
34978,21251
10218,0
22788,15785
21501,11169
13453,17606
39197,29203
16210,8649
9689,0
46489,34624
28381,30825
30508,33690
43653,32734
22142,17297
41950,37777
9916,1780
1375,3314
32449,40160
24797,24428
21782,21825
28028,30485
21243,22417
30379,22786
38780,23945
31740,24591
20984,10969
1050,0
7590,845
41205,30625
16162,4018
14105,7124
38499,33232
37641,34060
12628,12748
43032,32170
39516,32362
22621,29761
2476,0
41800,43070
36788,20767
25437,10097
27240,20908
46452,36937
11922,2754
49154,37349
9066,9669
13089,4622
33600,32975
47176,44492
9167,14804
13816,5605
22164,13064
21429,16106
36001,27167
32415,23978
9117,11828
48318,42324
7359,640
15364,5444
37965,22938
29794,18561
11293,14110
10332,9126
1615,6847
46612,27089
13401,12361
42936,35912
30372,31500
43276,32166
49322,36579
3339,11710
17246,12771
9109,8351
24758,22664
24091,9266
44056,35491
14317,3983
17762,13684
4465,1805
26622,18259
7800,10000
36539,29816
37651,23755
3600,0
6518,10255
20627,16275
30369,15751
32445,23457
17689,13207
16923,6135
39469,27754
31403,30630
1958,16504
41363,34906
4538,0
24404,18217
10983,9519
36371,33815
25642,25374
14467,19759
1205,955
28409,22833
13442,0
27290,15755
27108,13513
6691,309
39909,25016
20504,9898
31162,31465
40496,20855
39798,30648
22551,23226
14383,9697
17496,21959
42716,30575
10088,18575
47982,28974
28444,30729
25734,15222
42745,42865
35571,25648
27415,28560
16389,20754
28744,19527
19682,21877
46038,36663
35310,19472
8259,9657
46168,30835
13546,6919
3154,0
9766,10082
49517,33700
12230,2426
18765,8752
6902,1263
2222,4758
28050,27894
35269,33584
10050,7831
49976,39617
4574,2557
37497,32663
12157,16443
20575,15553
41244,36191
18945,7713
15962,17886
36290,30328
36159,22732
25852,27097
31684,17900
45842,23024
12796,15318
25450,22672
35846,21411
46037,38962
48130,45523
18504,16370
46728,52014
31041,19727
11715,0
22803,9777
4370,0
2908,15160
38075,30430
22134,29342
45065,33925
4587,0
31023,14438
46153,34542
3413,7796
26038,19483
23555,9259
11952,13480
4457,8598
9464,4392
2150,0
48305,28388
33264,30380
41222,30204
48553,22770
45349,27369
33786,30402
10808,6595
39345,24663
5081,4388
40222,27137
9933,4090
3671,1320
44739,45904
48738,49075
32217,13947
40155,31736
40601,23768
20008,9627
22883,7153
34282,22219
33974,20020
34715,33925
44401,30469
16380,1429
19212,15353
29174,22278
7861,4708
7094,9335
40113,39482
47728,36513
25363,21885
23310,17132
40300,35279
6943,0
15569,16159
43616,36591
9793,2077
39207,44616
26287,12873
34971,29955
43351,28938
48179,42011
32369,37893
24023,23872
46885,36812
24897,25489
24010,15665
41154,35857
36899,30046
21114,9592
20050,26292
22125,25163
29558,18510
45846,42831
21396,10052
28125,25278
23580,19149
39973,42049
24574,21651
25619,11224
14869,18011
1658,0
48150,35594
13122,10673
44827,32413
14335,22237
22677,22973
29223,16515
30814,20286
19075,7402
44185,41154
12258,9405
31527,19362
11139,18342
43325,37689
41503,34316
20514,17241
21917,9386
30097,27434
18788,12517
26061,26073
10947,12593
16544,12869
21014,16020
15795,22590
33632,18884
20352,12841
24653,26542
2579,10974
32758,25379
44755,31608
39760,27734
33818,18448
7452,17972
38921,30248
16340,15861
47668,40985
48738,47893
3787,514
47149,35627
49357,44471
16839,2702
3155,11466
8019,16844
21614,18766
27190,16126
41375,38219
11928,8396
49425,40393
9598,8989
45339,32321
21581,19348
49974,31200
45655,23350
48796,41223
49743,46056
47607,35004
14919,8517
39180,35229
5499,4275
38677,27545
49246,41229
44862,35928
26602,13786
30692,23901
41422,34235
49750,36597
22760,23763
3920,6036
25085,18406
23925,19942
6615,3033
38083,29121
46228,35857
3783,0
10605,8648
46557,39156
45608,51255
20192,18793
4331,0
32856,16440
3846,0
34697,24762
38586,27980
36030,27399
13775,8606
8549,5454
23437,16216
24958,20077
25243,14774
43177,26989
43424,33311
29984,26591
37942,23639
38538,27383
6833,4590
24386,18487
35813,33167
34805,33483
7242,7126
29704,31020
43419,32521
25832,25707
13321,6979
39930,33720
33407,30590
5073,4395
18667,9144
17035,3593
7732,9527
4487,1951
35952,27544
30425,33341
47658,32449
20571,20899
30075,19634
43185,33484
6495,0
19681,11277
15781,15104
40865,40456
9469,10116
46167,38769
17202,29056
20928,20106
11985,3986
40599,22380
17775,16495
1968,0
11382,3097
6151,6741
27804,28483
44586,33955
33259,19370
21748,16520
20691,14920
33020,27122
44560,28433
28256,17582
7125,11841
5370,8864
5838,11655
49943,28851
4134,0
46459,43113
44199,38913
12556,12489
34822,25683
28977,19461
21113,17084
31566,22562
3669,6104
17081,13888
13938,5323
6717,9183
13282,18151
48659,46853
43065,38493
15201,16283
17289,6864
25406,16297
32286,24819
13873,14654
17512,10408
29927,22100
24461,22926
21710,18191
20952,18765
14448,6890
16198,11036
8622,4080
41848,33473
3402,123
37324,26446
29467,24324
35961,41349
44007,38707
21739,6710
19518,17722
27547,18948
29936,18302
21287,21253
42351,34344
26476,36099
13875,10414
11686,7991
18536,22012
35062,28181
49216,33029
26041,15548
32653,24152
22673,22084
11367,16726
20629,21315
47105,41092
24100,25861
7654,9850
26063,15431
20322,14933
20010,12917
13693,18528
10241,2465
30778,19011
37843,31294
13651,22495
26966,25982
10275,14470
46606,30644
2658,6139
29963,17303
7932,10731
15248,2773
25437,18315
40727,20263
19201,10053
42150,25172
25355,24191
15999,13366
7376,3096
4476,4284
5366,0
49974,41910
26733,20920
13458,24452
33795,36837
21615,22935
12164,11485
40316,34775
4024,10665
30559,26176
2264,3909
10047,4579
45985,32664
7587,5426
7577,0
18635,14734
46564,35798
4870,9170
35094,35423
10217,23602
18602,18359
1605,2196
23343,15278
14003,4909
44257,40891
33089,26306
18661,17478
17782,14337
31029,25091
14487,12905
48501,41333
40042,37678
23065,11058
11844,12992
20323,8530
26397,25326
46957,39487
18328,14203
44739,35566
39733,32608
46389,43657
30715,30587
40116,37405
18580,6786
1823,4916
27472,7591
8084,0
13455,17508
11607,604
17919,13260
48004,46829
20394,19818
11819,11675
12969,10049
18333,15422
12700,6409
32792,23356
34311,27968
37668,31529
12945,9409
37992,16976
47526,47410
48717,44597
36634,28083
19630,21515
42036,31478
25944,22660
24360,7949
13813,12591
5601,2793
13930,12452
5333,14526
6399,5011
18839,12326
41204,30285
21195,8459
28848,25504
24693,22961
48715,39365
47729,43703
41854,39060
37450,30379
2854,5796
32558,39082
3985,0
44585,40307
20278,16743
41264,39286
34326,22700
20280,17426
35022,23940
16667,2732
19065,23678
49846,37270
22655,13069
11006,5343
7283,16773
42622,41961
46076,35552
4325,8628
31783,18974
4143,6456
36805,26861
13417,13350
32300,17597
27526,18450
29896,25008
38443,31782
28606,14108
40916,26902
8551,9381
36436,30985
48680,42877
3246,3738
40421,26018
44901,33798
8649,10105
42209,27757
1888,0
42983,32569
30424,25968
42559,22990
12075,8205
23699,22071
48972,43470
10950,2737
6413,7362
40305,38206
4569,7295
2242,0
38097,16166
31085,26124
11487,18661
19309,20392
31771,29944
27638,23121
37163,35111
22615,19911
9039,0
9198,12708
35354,23116
4824,4263
24999,24434
4436,0
29014,17298
41857,36349
17057,6964
2310,691
10819,15425
49233,49145
14457,876
1477,0
9906,15545
10868,6306
19546,20388
34276,32625
8319,2989
34149,29891
49055,42181
2845,7737
24684,9996
30858,32443
46330,41185
43678,28160
27667,21367
26293,26061
25893,14252
5629,0
6704,5475
2776,0
49281,40930
48996,44135
32236,27422
2244,1733
2333,6832
4669,3106
18584,10393
49347,46409
28277,8110
2933,2731
34514,25431
42800,28702
25357,22077
28071,25215
7827,1287
31844,17099
49965,32136
26664,32211
1792,12976
40695,32733
18651,6691
43510,33936
40137,18906
48568,40742
20074,10095
8874,0
17676,20007
40632,31580
37790,35426
19032,22467
31885,24972
12008,9575
45870,43046
49110,36055
44878,42830
6171,0
10589,6342
19077,16385
7710,0
21236,19206
39227,32415
15937,8356
10754,3981
