month,total_revenue
1,18973.71
2,28893.89
3,50181.51
4,72184.24
5,73126.77
6,88126.9
7,117633.7
8,126139.48
9,131244.2
10,154340.48
11,161292.66
12,176274.16
1,16935.7
2,14693.76
3,31200.66
4,55501.7
5,66897.35
6,92513.98
7,97735.81
8,108701.57
9,146725.19
10,148193.79
11,165540.23
12,168602.01
1,10644.94
2,30887.38
3,35792.05
4,63005.58
5,70194.89
6,87666.45
7,100186.35
8,134818.23
9,134892.02
10,141538.31
11,171580.36
12,170233.25
1,16670.91
2,14322.64
3,34374.51
4,61574.89
5,80907.73
6,91370.95
7,104074.81
8,117591.17
9,123171.82
10,144241.25
11,161314.89
12,188456.98
1,17748.95
2,15895.68
3,47592.67
4,56919.34
5,69584.62
6,94893.41
7,113248.0
8,127450.24
9,128286.26
10,147526.3
11,167650.11
12,187804.36
1,11166.61
2,28514.73
3,36149.32
4,50430.35
5,81500.21
6,100849.92
7,104423.92
8,128028.26
9,137893.09
10,144839.04
11,167891.16
12,192304.29
1,14713.39
2,42517.15
3,24042.04
4,66575.22
5,75696.38
6,87607.94
7,105734.09
8,104099.45
9,133242.62
10,152856.9
11,176823.15
12,175853.84
1,8532.05
2,25985.94
3,52323.22
4,62630.01
5,70761.92
6,94106.14
7,105776.62
8,127749.16
9,129383.58
10,147378.7
11,161863.13
12,168291.88
1,17368.96
2,32088.44
3,45040.91
4,58123.3
5,63677.03
6,86634.84
7,102258.28
8,113581.78
9,133709.71
10,153232.41
11,180089.49
12,181396.62
1,17060.4
2,29404.43
3,29649.83
4,59787.89
5,75481.84
6,109705.94
7,103461.11
8,122412.38
9,134722.31
10,140650.58
11,174142.58
12,186015.46
1,21328.26
2,22724.9
3,56222.35
4,48785.19
5,79694.86
6,107523.65
7,97075.71
8,115469.62
9,135797.21
10,145972.19
11,152594.69
12,180548.5
1,6501.57
2,33788.74
3,37644.61
4,72399.48
5,68733.97
6,87423.51
7,111508.14
8,110153.09
9,136819.68
10,160457.14
11,152140.13
12,181477.07
1,17079.06
2,36254.58
3,35104.39
4,49436.35
5,79175.53
6,92375.88
7,107003.94
8,122771.59
9,129559.8
10,151858.03
11,167344.58
12,174285.19
1,29926.2
2,33790.66
3,35469.57
4,65252.43
5,67202.55
6,96296.68
7,114268.76
8,113434.54
9,142707.01
10,153302.25
11,171576.48
12,195174.34
1,13036.9
2,23970.11
3,37883.88
4,53473.52
5,74383.19
6,92729.22
7,107213.53
8,126617.47
9,135104.02
10,161628.27
11,162882.75
12,201761.35
1,20005.34
2,23142.74
3,36432.86
4,63859.78
5,73212.3
6,95712.0
7,108785.9
8,119417.37
9,128225.65
10,137881.22
11,161427.88
12,186851.19
1,16712.75
2,20034.09
3,46385.45
4,63082.54
5,67929.14
6,91229.8
7,105465.67
8,110856.24
9,137862.3
10,154486.28
11,173664.41
12,188430.42
1,3978.65
2,22497.4
3,49120.28
4,64110.29
5,79120.38
6,120821.85
7,109567.12
8,129084.53
9,142632.01
10,155211.13
11,162477.85
12,186071.75
1,8817.4
2,28105.45
3,41117.09
4,60654.99
5,93517.27
6,75061.88
7,110490.08
8,107098.27
9,131224.55
10,158711.6
11,165514.24
12,171378.04
1,9277.57
2,35436.78
3,39157.07
4,61731.67
5,75364.57
6,84787.2
7,122151.55
8,125071.35
9,118798.86
10,151491.63
11,159705.71
12,186819.47
1,8659.83
2,29082.11
3,49039.9
4,66926.04
5,65397.63
6,87323.99
7,101200.44
8,114773.37
9,149123.63
10,153239.85
11,154912.93
12,187342.9
1,31977.25
2,38259.72
3,32845.04
4,56126.13
5,85135.29
6,84338.64
7,108550.56
8,126197.07
9,127584.56
10,149523.8
11,139069.86
12,171804.9
1,12979.45
2,20017.73
3,58059.29
4,48558.87
5,71479.64
6,91045.92
7,116530.19
8,108513.1
9,144305.31
10,150081.86
11,157147.93
12,183696.83
1,16592.48
2,25198.26
3,45558.42
4,56917.49
5,75908.14
6,95297.05
7,117688.13
8,110097.48
9,152064.27
10,134383.3
11,163785.72
12,184706.54
1,17247.93
2,25018.4
3,43335.02
4,56055.99
5,70285.08
6,96796.82
7,107856.12
8,114456.72
9,142196.8
10,152458.4
11,171502.9
12,185037.03
1,8368.04
2,25518.55
3,50978.35
4,64882.96
5,74832.79
6,90938.62
7,115221.32
8,115267.43
9,139376.78
10,148382.46
11,163258.55
12,188790.21
1,21603.33
2,36508.08
3,55443.83
4,60168.03
5,80455.62
6,87517.87
7,107593.33
8,118958.86
9,135775.97
10,154761.26
11,158454.23
12,196739.1
1,6951.86
2,20286.49
3,54264.89
4,66333.3
5,79992.96
6,95026.76
7,104902.03
8,112821.97
9,135606.44
10,144582.71
11,172800.96
12,178823.54
1,8396.02
2,27428.91
3,48303.45
4,55490.2
5,68422.24
6,91949.5
7,106959.73
8,115944.45
9,131231.69
10,151856.4
11,153415.33
12,168740.29
1,9252.45
2,28292.42
3,47487.26
4,71802.85
5,81861.28
6,88720.49
7,104847.87
8,111979.77
9,134851.89
10,147690.73
11,167581.75
12,173382.15
1,19154.77
2,42261.91
3,44129.92
4,63213.69
5,80521.15
6,86790.24
7,106792.74
8,120100.74
9,135781.41
10,143815.92
11,165196.08
12,183983.99
1,26609.15
2,37674.17
3,62225.46
4,53861.22
5,81978.57
6,91466.74
7,122518.42
8,113533.61
9,128282.23
10,145204.86
11,148008.83
12,175793.96
1,8926.94
2,31203.15
3,47734.05
4,75009.37
5,82603.39
6,85384.77
7,97812.68
8,123935.35
9,124438.13
10,164651.67
11,174435.52
12,176246.59
1,1294.92
2,40830.98
3,44083.68
4,69902.53
5,62244.58
6,85205.0
7,105041.95
8,120375.84
9,131399.48
10,154982.8
11,156459.04
12,178860.96
1,15962.37
2,34115.51
3,50692.92
4,51002.86
5,62727.09
6,100221.41
7,107658.51
8,114012.11
9,147409.22
10,150925.4
11,174434.38
12,180540.15
1,31485.98
2,44042.73
3,43008.29
4,67772.57
5,80163.01
6,100949.05
7,97280.61
8,125488.41
9,143467.4
10,135930.08
11,155533.93
12,163686.14
1,12844.75
2,35740.34
3,57018.86
4,60592.76
5,88028.92
6,78959.19
7,91372.94
8,119555.62
9,138072.52
10,149738.44
11,148460.46
12,179287.04
1,4564.24
2,35357.38
3,47932.79
4,52480.96
5,70889.06
6,81526.29
7,104498.57
8,127641.14
9,127114.19
10,154032.37
11,160757.94
12,173657.02
1,14143.76
2,21718.06
3,40570.81
4,50416.98
5,90717.8
6,90282.11
7,99402.2
8,121711.84
9,134101.38
10,148232.24
11,169913.33
12,186060.06
1,10755.99
2,25393.45
3,42799.59
4,41584.63
5,62878.47
6,100934.99
7,118159.74
8,118007.71
9,139612.46
10,152490.0
11,189631.05
12,188956.6
1,13976.66
2,22355.68
3,32148.43
4,61627.71
5,68949.19
6,78621.97
7,99827.42
