number_ofvisitor,total_daily_billing
345,92573.32
660,164870.86
486,104882.9
757,190652.81
678,159904.22
725,191692.28
857,216061.5
951,239561.51
447,115512.17
174,34585.22
546,138488.66
918,224425.24
850,210460.7
413,105429.64
196,46229.08
509,117648.19
220,57396.62
359,93324.47
762,184974.89
401,96312.48
909,226262.66
397,108857.29
941,243906.39
400,105446.24
622,165878.59
190,52886.71
219,56113.0
274,62969.55
795,190101.5
835,206302.47
270,68455.51
414,115014.01
792,196870.19
889,223013.93
162,42225.28
298,75528.83
519,138638.85
498,131139.43
97,24276.02
400,96879.0
133,30435.93
725,181414.03
648,158445.99
222,60027.28
955,235371.31
954,246277.09
991,251200.84
194,41968.17
811,210113.58
500,118385.08
594,156529.95
370,96221.38
197,60459.8
755,176064.81
175,44459.72
961,240120.97
959,236655.68
690,177447.64
724,179396.46
515,135954.29
178,39848.26
732,173416.03
886,217770.53
124,33867.24
535,138759.34
817,199468.02
265,68854.3
792,199757.1
286,72536.56
145,44990.19
232,56566.55
961,235560.52
682,170878.94
244,60187.64
299,79269.41
672,168038.75
496,125265.92
121,28817.13
967,230321.95
101,26160.5
545,142155.46
204,53919.35
369,84676.28
350,85807.36
244,59753.7
75,21521.07
276,69720.01
446,96442.41
258,59354.2
463,113932.59
782,192247.88
895,222735.79
847,209373.96
302,74306.73
477,123195.92
993,254069.46
663,164951.1
314,81427.1
225,58346.69
401,107099.6
233,61606.29
373,103581.92
951,241238.42
548,128911.07
242,67217.03
906,231100.66
535,138243.44
244,54441.78
70,22969.33
383,100688.37
847,204753.72
618,158043.92
104,27464.03
51,12796.51
353,87830.8
583,136227.99
190,47156.51
138,38380.54
929,228130.15
860,214716.03
636,156457.8
635,156605.19
354,79316.02
797,202552.33
214,53596.33
266,62414.2
413,109236.9
852,217283.18
580,144665.95
333,89498.57
411,110666.25
417,99546.9
490,116923.81
932,221839.49
494,119956.7
988,245063.24
426,98343.75
545,132058.06
237,62947.79
699,176068.24
896,220199.56
913,234446.65
841,203514.18
763,193252.38
433,107089.29
477,119727.37
207,53253.49
794,204485.48
676,172546.8
274,73968.0
606,146411.48
778,193057.5
679,165018.56
877,212714.7
421,109768.07
358,79708.83
408,99080.34
842,207756.47
151,36688.61
509,121530.67
181,41564.03
909,236576.1
773,191942.0
251,58332.66
336,85177.52
196,49378.27
819,214374.6
821,203883.8
896,226434.85
343,79750.36
82,16906.71
67,13643.81
921,222837.78
721,180487.03
164,42258.42
257,64886.86
210,44444.41
339,79922.33
868,215026.91
368,86165.27
511,117546.32
608,156790.08
958,247050.88
101,30971.67
910,228959.85
101,22281.55
220,65839.48
667,172108.7
659,160640.63
494,131047.92
770,193326.31
180,51600.93
783,203720.09
272,64689.8
364,90326.83
688,173238.58
999,250212.95
886,216358.5
175,44310.61
561,138787.15
179,43367.89
757,181378.22
93,22085.6
433,118965.11
855,216028.86
237,57668.7
293,75941.08
972,250043.32
652,159404.42
943,244180.76
576,138658.06
984,244049.43
983,243364.63
743,191837.79
368,86468.49
623,161067.67
639,158827.65
323,81441.58
812,208927.48
974,245909.08
120,36386.4
73,23468.46
343,98847.54
183,51516.22
453,113864.72
807,202056.28
987,255428.62
533,134857.34
251,65389.57
583,151850.28
210,50989.98
776,189768.7
95,26857.46
547,134559.6
487,129601.73
154,26527.22
731,180519.04
996,250807.19
134,30653.01
873,225912.06
126,33200.61
603,148028.32
574,145382.06
871,211294.6
957,242507.62
340,92281.61
388,96916.46
570,143126.33
62,10510.03
583,142607.17
601,156161.99
981,245313.39
422,117297.93
525,134766.99
176,38929.74
730,194649.77
824,199455.44
783,194428.67
272,69467.16
872,220167.68
682,168004.77
271,68402.81
640,167268.08
446,118838.69
148,46716.78
532,129255.72
453,115318.2
284,73869.29
235,50216.34
328,81046.32
742,188859.2
854,213333.06
837,206402.35
425,108695.89
452,119629.23
285,72787.97
707,166497.6
117,35785.87
863,209867.84
225,50855.78
581,147019.05
633,160086.41
502,122714.23
666,170646.23
979,245109.71
921,222969.42
568,137385.28
867,215641.19
102,26070.38
378,92148.72
316,70114.32
765,188072.24
441,113875.51
81,20896.19
240,64942.65
744,190233.51
236,50650.37
880,216990.0
450,116248.13
203,53542.84
100,27765.97
338,89781.62
587,153414.07
327,73331.45
500,123194.0
912,231531.4
383,99951.41
259,73743.19
814,211225.45
560,146005.8
555,136656.76
531,137292.66
409,112458.09
752,195805.02
194,50690.77
602,158047.7
125,32684.02
856,215492.03
722,179708.41
337,77651.25
198,54610.62
486,121343.17
753,189321.78
383,98654.06
115,26210.62
226,61259.6
376,93617.76
592,147818.55
909,211721.61
986,247625.96
248,57702.09
469,115826.3
123,27261.05
472,114829.98
160,39240.08
943,238559.75
143,43595.2
926,232650.4
409,100319.83
218,53262.15
346,91608.77
310,79994.16
774,187568.45
823,202591.97
367,92171.34
321,79455.09
257,61572.81
393,97382.68
927,233239.92
452,115009.46
132,33293.8
289,76943.64
684,173338.05
726,176490.37
625,154641.89
492,122386.59
658,163798.59
118,25625.81
762,187840.94
518,134094.0
696,169142.97
859,213364.6
970,248835.73
873,217970.7
992,260034.83
390,105660.09
925,220471.79
510,122129.4
483,121138.29
390,95992.53
507,130340.99
