week_number,active_subscribers
1,96
2,197
3,31
4,471
5,361
6,329
7,398
8,346
9,467
10,429
11,452
12,426
13,532
14,492
15,690
16,621
17,447
18,650
19,633
20,616
21,603
22,745
23,525
24,637
25,484
26,713
27,660
28,575
29,699
30,823
31,704
32,542
33,703
34,741
35,647
36,944
37,583
38,478
39,644
40,548
41,842
42,858
43,596
44,652
45,644
46,768
47,821
48,928
49,825
50,753
51,752
52,804
53,814
54,789
55,815
56,806
57,667
58,830
59,731
60,843
61,874
62,946
63,828
64,771
65,922
66,847
67,1040
68,705
69,792
70,781
71,1040
72,904
73,674
74,684
75,952
76,763
77,872
78,853
79,1074
80,855
81,839
82,940
83,997
84,901
85,661
86,974
87,760
88,744
89,851
90,915
91,1050
92,703
93,924
94,1059
95,903
96,992
97,986
98,862
99,982
100,935
101,893
102,1087
103,911
104,1082
105,899
106,922
107,913
108,1043
109,854
110,988
111,983
112,986
113,1152
114,928
115,1224
116,1065
117,809
118,842
119,1060
120,885
121,985
122,893
123,918
124,940
125,1066
126,946
127,1113
128,874
129,1053
130,996
131,853
132,919
133,968
134,1105
135,970
136,1191
137,954
138,997
139,1121
140,864
141,1111
142,928
143,971
144,1020
145,916
146,1264
147,1022
148,1015
149,943
150,869
151,1118
152,979
153,1040
154,911
155,1091
156,980
157,847
158,985
159,1093
160,1075
161,1056
162,1015
163,1024
164,966
165,1139
166,1019
167,972
168,1205
169,1151
170,1038
171,994
172,999
173,935
174,1128
175,1218
176,1093
177,1192
178,1124
179,892
180,1186
181,1018
182,1064
183,952
184,869
185,983
186,1074
187,1060
188,1128
189,1078
190,1066
191,997
192,1255
193,1251
194,1081
195,917
196,1094
197,932
198,919
199,1160
200,975
201,1012
202,1154
203,1111
204,1135
205,1246
206,1013
207,1102
208,1219
209,977
210,1057
211,1158
212,949
213,1096
214,1045
215,984
216,1196
217,1169
218,1131
219,1149
220,1040
221,1086
222,999
223,1160
224,993
225,1034
226,983
227,1108
228,1061
229,1128
230,1022
231,1014
232,1134
233,1078
234,1376
235,1158
236,1108
237,1224
238,1195
239,1114
240,1402
241,1213
242,987
243,1066
244,921
245,955
246,1400
247,1238
248,935
249,1104
250,1070
251,1371
252,871
253,1044
254,1046
255,1038
256,1136
257,1199
258,1059
259,1104
260,1017
261,1026
262,1156
263,1173
264,932
265,1044
266,1085
267,1080
268,1093
269,869
270,1228
271,1113
272,1403
273,1185
274,1162
275,1038
276,1067
277,1206
278,1099
279,1058
280,1317
281,1166
282,1208
283,1099
284,1252
285,1078
286,1251
287,1088
288,1297
289,1265
290,1093
291,1363
292,1151
293,1309
294,1025
295,1209
296,1179
297,1101
298,1236
299,1271
300,1195
301,1182
302,1170
303,1196
304,1224
305,1220
306,1206
307,1102
308,1248
309,1205
310,1187
311,1127
312,1248
313,946
314,1145
315,1112
316,1104
317,1126
318,1050
319,1119
320,1037
321,1196
322,1250
323,1261
324,1212
325,1101
326,1047
327,1094
328,1128
329,1097
330,1403
331,1232
332,1220
333,1193
334,1113
335,1177
336,1234
337,1261
338,1195
339,1242
340,1118
341,1010
342,1299
343,1109
344,1109
345,1081
346,1201
347,1117
348,1320
349,1318
350,1211
351,1103
352,1359
353,1289
354,1108
355,1217
356,1204
357,1235
358,1191
359,1180
360,1472
361,1238
362,1114
363,1141
364,1370
365,1152
366,1094
367,1194
368,1171
369,1330
370,1350
371,1162
372,1275
373,1180
374,1113
375,1374
376,1391
377,1231
378,1134
379,1100
380,1264
381,1332
382,1215
383,1311
384,1181
385,1147
386,1229
387,1004
388,1157
389,1288
390,964
391,1079
392,1195
393,1089
394,1162
395,1006
396,1274
397,1320
398,1059
399,1233
400,1192
401,1259
402,1361
403,1099
404,1340
405,1384
406,1042
407,1315
408,1130
409,1281
410,1139
411,1162
412,1153
413,1122
414,1294
415,1268
416,1271
417,1184
418,1194
419,1259
420,1141
421,1173
422,1315
423,1262
424,1340
425,971
426,1371
427,1318
428,1320
429,1065
430,1171
431,1184
432,1244
433,1405
434,1249
435,1346
436,1368
437,1299
438,1252
439,1354
440,1073
441,1294
442,1385
443,1247
444,1291
445,1335
446,1195
447,1534
448,1113
449,1046
450,1304
451,1172
452,1251
453,1261
454,1279
455,1103
456,1160
457,1349
458,1181
459,1223
460,1177
461,1282
462,1191
463,1396
464,1155
465,1090
466,1114
467,1349
468,1113
469,1099
470,1312
471,1416
472,1451
473,1224
474,929
475,1219
476,1360
477,1133
478,1183
479,1271
480,1360
481,1144
482,1349
483,1313
484,1217
485,1320
486,1344
487,1410
488,1396
489,1131
490,1293
491,1242
492,1283
493,1251
494,1263
495,1246
496,1185
497,1272
498,1341
499,1230
500,1198
501,1271
502,1288
503,1182
504,1211
505,1139
506,1285
507,1219
508,1390
509,1306
510,1323
511,1270
512,1343
513,1093
514,1253
515,1225
516,1371
517,1129
518,1279
519,1386
520,1249
521,1248
522,1287
523,1238
524,1300
525,1371
526,1293
527,1259
528,1341
529,1415
530,1197
531,1453
532,1205
533,1301
534,1296
535,1303
536,1100
537,1141
538,1225
539,1199
540,1317
541,1385
542,1060
543,1150
544,1212
545,1153
546,1233
547,1180
548,1316
549,1538
550,1182
551,1393
552,1532
553,1201
554,1484
555,1181
556,1393
557,1189
558,1084
559,1374
560,1322
561,1262
562,1105
563,1402
564,1380
565,1089
566,1294
567,1326
568,1158
569,1372
570,1522
571,1380
572,1448
573,1364
574,1161
575,1358
576,1143
577,1222
578,1248
579,1237
580,1194
581,1248
582,1262
583,1403
584,1317
585,1374
586,1252
587,1372
588,1083
589,1148
590,1377
591,1217
592,1288
593,1044
594,1240
595,1153
596,1210
597,1291
598,1289
599,1255
600,1370
601,1236
602,1254
603,1161
604,1402
605,1200
606,1141
607,1161
608,1302
609,1273
610,1261
611,1384
612,1185
613,1333
614,1294
615,1325
616,1296
617,1210
618,1063
619,1367
620,1285
621,1299
622,1284
623,1139
624,1310
625,1291
626,1281
627,1460
628,1301
629,1277
630,1274
631,1183
632,1304
633,1317
634,1224
635,1365
636,1340
637,1280
638,1375
639,1254
640,1372
641,1244
642,1451
643,1235
644,1278
645,1208
646,1349
647,1181
648,1283
649,1157
650,1349
651,1355
652,1309
653,1244
654,1366
655,1203
656,1223
657,1367
658,1353
659,1353
660,1529
661,1316
662,1259
663,1285
664,1090
665,1339
666,1442
667,1266
668,1432
669,1204
670,1224
671,1224
672,1156
673,1448
674,1354
675,1365
676,1231
677,1384
678,1253
679,1258
680,1412
681,1220
682,1205
683,1194
684,1291
685,1512
686,1280
687,1177
688,1245
689,1261
690,1312
691,1344
692,1099
693,1186
694,1179
695,1411
696,1208
697,1338
698,1357
699,1260
700,1068
701,1428
702,1442
703,1309
704,1243
705,1491
706,1241
707,1392
708,1163
709,1359
710,1183
711,1351
712,1314
713,1278
714,1275
715,1423
716,1306
717,1355
718,1600
